lemma	loss	loss_normalized	conflicts	conflicts_normalized	conflicts_between_clusters	conflicts_within_clusters	uncompared_cluster_combinations	uncompared_multi_cluster_combinations	excluded_nodes	judgments_per_edge	edgeshares	nodes	judgments_total
Bemerken	3.5	0.011784511784511785	8	0.04040404040404041	1	7	15	0	2	1.027906976744186	1=0.97,2=0.03	50	221
Berücksichtigung	2.5	0.013550135501355014	3	0.024390243902439025	3	0	3	0	0	1.0	1=1.00	50	123
durchdenken	0.0	0.0	0	0.0	0	0	1	0	0	1.0125786163522013	1=0.99,2=0.01	49	161
einbinden	15.5	0.031504065040650404	25	0.07621951219512195	17	8	6	0	3	1.0991957104557641	1=0.90,2=0.10	50	410
einmünden	18.0	0.06486486486486487	36	0.1945945945945946	33	3	4	0	0	1.054054054054054	1=0.95,2=0.05	50	195
eintreten	5.5	0.017214397496087636	8	0.03755868544600939	4	4	18	0	0	1.0672645739910314	1=0.93,2=0.07	50	238
erlauben	47.0	0.11393939393939394	63	0.2290909090909091	18	45	2	1	0	1.0866425992779782	1=0.91,2=0.09	50	301
erringen	21.0	0.034739454094292806	28	0.06947890818858561	0	28	0	0	2	1.1322869955156951	1=0.88,2=0.12,3=0.00,4=0.00	50	505
finnisch	57.5	0.12016718913270637	75	0.23510971786833856	41	34	1	0	2	1.0769230769230769	1=0.93,2=0.07,3=0.01	50	378
Fischerei	27.0	0.0821917808219178	37	0.1689497716894977	9	28	1	0	0	1.0789473684210527	1=0.92,2=0.08	50	246
Formgebung	41.0	0.06074074074074074	61	0.13555555555555557	20	41	0	0	3	1.1853281853281854	1=0.83,2=0.15,3=0.02	50	614
freigelaßen	2.0	0.0028551034975017845	7	0.014989293361884369	7	0	3	0	0	1.1382978723404256	1=0.86,2=0.13,3=0.00	50	535
freistehend	23.5	0.036265432098765434	54	0.125	43	11	0	0	0	1.1327231121281465	1=0.87,2=0.12,3=0.01	50	495
geehrt	11.5	0.036163522012578615	13	0.06132075471698113	8	5	10	0	1	1.0271493212669682	1=0.97,2=0.03	50	227
gelagert	31.0	0.07276995305164319	46	0.1619718309859155	32	14	2	0	3	1.0909090909090908	1=0.91,2=0.09,3=0.00	50	372
gewahren	6.5	0.021666666666666667	11	0.055	7	4	77	0	5	1.0851063829787233	1=0.92,2=0.07,3=0.01	50	306
greifend	8.5	0.03353057199211045	16	0.09467455621301775	15	1	17	0	2	1.0372340425531914	1=0.96,2=0.04	50	195
Handhabe	11.5	0.0249728555917481	19	0.06188925081433225	9	10	3	0	0	1.0946372239747635	1=0.91,2=0.08,3=0.01	50	347
Hauptfrage	7.5	0.026595744680851064	15	0.0797872340425532	0	15	0	0	0	1.086734693877551	1=0.92,2=0.08,3=0.01	50	213
helfen	31.0	0.1054421768707483	39	0.1989795918367347	15	24	3	0	1	1.0648148148148149	1=0.94,2=0.06	50	230
hinrichten	1.5	0.0037593984962406013	1	0.0037593984962406013	1	0	0	0	0	1.0225563909774436	1=0.98,2=0.02	50	272
hochwichtig	0.5	0.0006680026720106881	1	0.002004008016032064	0	1	0	0	1	1.2153846153846153	1=0.80,2=0.18,3=0.02	50	632
Kölner	8.0	0.014336917562724014	16	0.043010752688172046	0	16	0	0	1	1.1278195488721805	1=0.88,2=0.11,3=0.01	50	450
Kompanie	15.0	0.036231884057971016	18	0.06521739130434782	9	9	6	0	1	1.1241610738255035	1=0.88,2=0.11,3=0.01	50	335
Königreich	4.0	0.01990049751243781	8	0.05970149253731343	0	8	0	0	1	1.0141843971631206	1=0.99,2=0.01	50	143
Kriegskunst	8.5	0.012292118582791034	11	0.02386117136659436	0	11	0	0	0	1.1991869918699187	1=0.82,2=0.16,3=0.02	50	590
Kunde	11.0	0.018612521150592216	18	0.04568527918781726	0	18	0	0	1	1.1075794621026895	1=0.89,2=0.11	50	453
Lager	21.0	0.03723404255319149	40	0.10638297872340426	20	20	0	0	4	1.123913043478261	1=0.88,2=0.12,3=0.00	50	517
Lebenslage	13.5	0.06040268456375839	25	0.16778523489932887	6	19	1	0	4	1.0391061452513966	1=0.96,2=0.04	50	186
Losung	18.0	0.033426183844011144	20	0.055710306406685235	14	6	1	0	2	1.1145584725536992	1=0.89,2=0.11,3=0.00	50	467
Mauer	30.5	0.08726752503576538	43	0.18454935622317598	3	40	6	0	2	1.1029411764705883	1=0.90,2=0.10,3=0.00	50	300
nebensächlich	15.5	0.05410122164048865	19	0.09947643979057591	2	17	0	0	0	1.0463917525773196	1=0.95,2=0.05	50	203
neunjahrig	7.0	0.013257575757575758	11	0.03125	11	0	3	0	0	1.1016949152542372	1=0.90,2=0.10	50	390
niederschlagen	9.0	0.013043478260869565	15	0.03260869565217391	11	4	27	1	0	1.13882863340564	1=0.87,2=0.12,3=0.01	50	525
nochmalig	0.5	0.0006289308176100629	1	0.0018867924528301887	0	1	0	0	1	1.219600725952813	1=0.80,2=0.19,3=0.01,4=0.00	50	672
preisgeben	52.0	0.10441767068273092	79	0.23795180722891565	69	10	2	0	0	1.1188405797101448	1=0.89,2=0.11,3=0.01	50	386
Querschnitt	18.0	0.04878048780487805	29	0.11788617886178862	21	8	4	0	2	1.051660516605166	1=0.95,2=0.05	50	285
Rädelsführer	14.5	0.048576214405360134	19	0.09547738693467336	3	16	0	0	0	1.08	1=0.92,2=0.08	50	216
Rang	16.0	0.046579330422125184	26	0.11353711790393013	18	8	13	0	0	1.0253164556962024	1=0.97,2=0.03	50	243
regelrecht	10.0	0.03642987249544627	14	0.07650273224043716	11	3	2	0	1	1.044776119402985	1=0.96,2=0.04	50	210
regulär	34.0	0.06889564336372847	69	0.20972644376899696	51	18	0	0	2	1.0878186968838528	1=0.91,2=0.09	50	384
Sprachrohr	3.5	0.015555555555555555	8	0.05333333333333334	6	2	9	0	1	1.058139534883721	1=0.94,2=0.06	50	182
Täter	25.0	0.04504504504504504	41	0.11081081081081082	7	34	0	0	2	1.140552995391705	1=0.86,2=0.14,3=0.00	50	495
Tote	23.5	0.06342780026990553	32	0.12955465587044535	9	23	3	0	1	1.0962962962962963	1=0.90,2=0.10	50	296
Triebkraft	10.5	0.03571428571428571	18	0.09183673469387756	16	2	2	0	1	1.0434782608695652	1=0.96,2=0.04	50	216
Überflutung	1.0	0.0034542314335060447	3	0.015544041450777202	3	0	0	0	0	1.035	1=0.96,2=0.04	50	207
überwintern	28.0	0.0761904761904762	34	0.13877551020408163	18	16	2	0	1	1.1098484848484849	1=0.90,2=0.09,3=0.00,4=0.00	50	293
unbedenklich	29.0	0.09570957095709572	54	0.26732673267326734	20	34	3	0	0	1.0541871921182266	1=0.95,2=0.05	50	214
ungebrechen	18.0	0.04897959183673469	40	0.16326530612244897	18	22	28	1	1	1.0419847328244274	1=0.96,2=0.04	50	273
Vernehmen	4.0	0.008492569002123142	9	0.028662420382165606	9	0	4	1	1	1.0364741641337385	1=0.96,2=0.04	50	341
Vernichtungskrieg	46.0	0.054470100651272946	79	0.14031971580817051	47	32	5	0	0	1.2067137809187278	1=0.81,2=0.17,3=0.02	50	683
Vorbereitung	33.5	0.10894308943089431	65	0.3170731707317073	5	60	1	0	0	1.0242718446601942	1=0.98,2=0.02	50	211
vorjährig	1.5	0.0051813471502590676	3	0.015544041450777202	0	3	0	0	1	1.0394088669950738	1=0.96,2=0.04	50	211
Waffenruhe	3.5	0.008641975308641974	7	0.025925925925925925	0	7	0	0	0	1.120879120879121	1=0.88,2=0.11,3=0.00	50	306
Walzwerk	30.0	0.08583690987124463	60	0.2575107296137339	0	60	0	0	1	1.0674603174603174	1=0.93,2=0.07	50	269
Warschauer	44.5	0.08777120315581854	68	0.20118343195266272	54	14	5	0	0	1.0705882352941176	1=0.93,2=0.07	50	364
Westen	34.5	0.1	36	0.1565217391304348	30	6	6	0	0	1.021551724137931	1=0.98,2=0.02	50	237
wuchernd	27.5	0.08409785932721713	40	0.1834862385321101	27	13	4	0	0	1.0896860986547086	1=0.91,2=0.09	50	243
Zehner	9.0	0.015503875968992248	15	0.03875968992248062	6	9	14	0	4	1.1292372881355932	1=0.88,2=0.11,3=0.01	50	533
Zurückgebleibene	10.0	0.021231422505307854	18	0.05732484076433121	3	15	0	0	1	1.0391566265060241	1=0.96,2=0.04	50	345
zurückwerfen	32.5	0.046395431834404	63	0.1349036402569593	50	13	13	0	0	1.2399150743099787	1=0.79,2=0.18,3=0.03,4=0.00	50	584
Zuwachs	28.5	0.10795454545454546	40	0.22727272727272727	27	13	2	0	1	1.0564102564102564	1=0.95,2=0.05,3=0.01	50	206
