lemma	grouping	nodes	nodes1	nodes2	cluster_freq_dist	cluster_freq_dist1	cluster_freq_dist2	cluster_prob_dist	cluster_prob_dist1	cluster_prob_dist2	change_binary	change_binary_gain	change_binary_loss	change_graded	k1	n1	k2	n2	EARLIER	LATER	COMPARE
Aussterben	1_2	50	25	25	[46, 3]	[24, 1]	[22, 2]	[0.939, 0.061]	[0.96, 0.04]	[0.917, 0.083]	0	0	0	0.07727366791986338	1	3	1	3	3.3424657534246576	3.537974683544304	3.2977099236641223
Bemerken	1_2	50	25	25	[42, 1, 1, 1, 1, 1, 1]	[22, 1, 1, 0, 0, 0, 0]	[20, 0, 0, 1, 1, 1, 1]	[0.875, 0.021, 0.021, 0.021, 0.021, 0.021, 0.021]	[0.917, 0.042, 0.042, 0.0, 0.0, 0.0, 0.0]	[0.833, 0.0, 0.0, 0.042, 0.042, 0.042, 0.042]	0	0	0	0.3555724771131952	1	3	1	3	3.2564102564102564	3.1639344262295084	3.086734693877551
Berücksichtigung	1_2	50	25	25	[47, 1, 1, 1]	[22, 1, 1, 1]	[25, 0, 0, 0]	[0.94, 0.02, 0.02, 0.02]	[0.88, 0.04, 0.04, 0.04]	[1.0, 0.0, 0.0, 0.0]	0	0	0	0.2505284145776563	1	3	1	3	3.3333333333333335	3.9642857142857144	3.4838709677419355
durchdenken	1_2	50	25	25	[49, 1]	[24, 1]	[25, 0]	[0.98, 0.02]	[0.96, 0.04]	[1.0, 0.0]	0	0	0	0.1424585834571342	1	3	1	3	3.4193548387096775	3.7051282051282053	3.541176470588235
einbinden	1_2	50	25	25	[18, 15, 7, 2, 1, 1, 1, 1, 1]	[14, 0, 5, 0, 1, 1, 1, 0, 0]	[4, 15, 2, 2, 0, 0, 0, 1, 1]	[0.383, 0.319, 0.149, 0.043, 0.021, 0.021, 0.021, 0.021, 0.021]	[0.636, 0.0, 0.227, 0.0, 0.045, 0.045, 0.045, 0.0, 0.0]	[0.16, 0.6, 0.08, 0.08, 0.0, 0.0, 0.0, 0.04, 0.04]	1	1	0	0.764666618710519	1	3	1	3	2.5254237288135593	2.521276595744681	1.9864864864864864
einmünden	1_2	50	25	25	[18, 13, 12, 5, 1, 1]	[0, 11, 8, 4, 1, 1]	[18, 2, 4, 1, 0, 0]	[0.36, 0.26, 0.24, 0.1, 0.02, 0.02]	[0.0, 0.44, 0.32, 0.16, 0.04, 0.04]	[0.72, 0.08, 0.16, 0.04, 0.0, 0.0]	1	1	1	0.7391730647972149	1	3	1	3	2.93	3.1052631578947367	2.402061855670103
eintreten	1_2	50	25	25	[14, 12, 7, 6, 3, 2, 2, 1, 1, 1, 1]	[10, 0, 7, 3, 2, 1, 1, 1, 0, 0, 0]	[4, 12, 0, 3, 1, 1, 1, 0, 1, 1, 1]	[0.28, 0.24, 0.14, 0.12, 0.06, 0.04, 0.04, 0.02, 0.02, 0.02, 0.02]	[0.4, 0.0, 0.28, 0.12, 0.08, 0.04, 0.04, 0.04, 0.0, 0.0, 0.0]	[0.16, 0.48, 0.0, 0.12, 0.04, 0.04, 0.04, 0.0, 0.04, 0.04, 0.04]	1	1	1	0.7093859956032921	1	3	1	3	2.123076923076923	2.2564102564102564	1.5779816513761469
erlauben	1_2	50	25	25	[45, 2, 2, 1]	[22, 1, 1, 1]	[23, 1, 1, 0]	[0.9, 0.04, 0.04, 0.02]	[0.88, 0.04, 0.04, 0.04]	[0.92, 0.04, 0.04, 0.0]	0	0	0	0.14255043069008738	1	3	1	3	3.1357142857142857	2.8135593220338984	3.017123287671233
erringen	1_2	50	25	25	[48]	[25]	[23]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.2175925925925926	3.3072916666666665	3.2268518518518516
finnisch	1_2	50	25	25	[29, 16, 2, 1]	[16, 7, 2, 0]	[13, 9, 0, 1]	[0.604, 0.333, 0.042, 0.021]	[0.64, 0.28, 0.08, 0.0]	[0.565, 0.391, 0.0, 0.043]	0	0	0	0.2647654256545492	1	3	1	3	2.7701149425287355	3.0733333333333333	2.6645962732919255
Fischerei	1_2	50	25	25	[48, 1, 1]	[24, 1, 0]	[24, 0, 1]	[0.96, 0.02, 0.02]	[0.96, 0.04, 0.0]	[0.96, 0.0, 0.04]	0	0	0	0.2	1	3	1	3	3.074074074074074	3.2857142857142856	3.261467889908257
Formgebung	1_2	50	25	25	[42, 5]	[20, 4]	[22, 1]	[0.894, 0.106]	[0.833, 0.167]	[0.957, 0.043]	1	0	1	0.1756450281007977	1	3	1	3	3.095833333333333	3.1699029126213594	3.0355648535564854
freigelaßen	1_2	50	25	25	[42, 5, 1, 1, 1]	[18, 5, 1, 1, 0]	[24, 0, 0, 0, 1]	[0.84, 0.1, 0.02, 0.02, 0.02]	[0.72, 0.2, 0.04, 0.04, 0.0]	[0.96, 0.0, 0.0, 0.0, 0.04]	1	0	1	0.4152208637956777	1	3	1	3	2.7660550458715596	3.688	2.763948497854077
freistehend	1_2	50	25	25	[30, 16, 4]	[25, 0, 0]	[5, 16, 4]	[0.6, 0.32, 0.08]	[1.0, 0.0, 0.0]	[0.2, 0.64, 0.16]	1	1	0	0.7810163551494856	1	3	1	3	3.2244897959183674	2.737864077669903	2.287878787878788
geehrt	1_2	50	25	25	[43, 2, 1, 1, 1, 1]	[23, 0, 1, 0, 0, 0]	[20, 2, 0, 1, 1, 1]	[0.878, 0.041, 0.02, 0.02, 0.02, 0.02]	[0.958, 0.0, 0.042, 0.0, 0.0, 0.0]	[0.8, 0.08, 0.0, 0.04, 0.04, 0.04]	0	0	0	0.3549402949242433	1	3	1	3	3.650943396226415	3.25	3.0681818181818183
gelagert	1_2	50	25	25	[18, 17, 6, 4, 1, 1]	[7, 16, 0, 2, 0, 0]	[11, 1, 6, 2, 1, 1]	[0.383, 0.362, 0.128, 0.085, 0.021, 0.021]	[0.28, 0.64, 0.0, 0.08, 0.0, 0.0]	[0.5, 0.045, 0.273, 0.091, 0.045, 0.045]	1	1	1	0.6533297458867608	1	3	1	3	2.9625	2.8360655737704916	2.2884615384615383
gewahren	1_2	50	25	25	[15, 14, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[4, 14, 2, 2, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[11, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0.333, 0.311, 0.044, 0.044, 0.022, 0.022, 0.022, 0.022, 0.022, 0.022, 0.022, 0.022, 0.022, 0.022, 0.022, 0.022]	[0.167, 0.583, 0.083, 0.083, 0.042, 0.042, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.524, 0.0, 0.0, 0.0, 0.0, 0.0, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048, 0.048]	1	0	1	0.8513122308259521	1	3	1	3	2.2987012987012987	2.186046511627907	1.375
greifend	1_2	50	25	25	[19, 9, 6, 5, 4, 1, 1, 1, 1, 1]	[6, 6, 5, 2, 2, 1, 1, 1, 1, 0]	[13, 3, 1, 3, 2, 0, 0, 0, 0, 1]	[0.396, 0.188, 0.125, 0.104, 0.083, 0.021, 0.021, 0.021, 0.021, 0.021]	[0.24, 0.24, 0.2, 0.08, 0.08, 0.04, 0.04, 0.04, 0.04, 0.0]	[0.565, 0.13, 0.043, 0.13, 0.087, 0.0, 0.0, 0.0, 0.0, 0.043]	1	0	1	0.4540870526168578	1	3	1	3	2.4722222222222223	2.8292682926829267	2.3947368421052633
Handhabe	1_2	50	25	25	[32, 15, 1, 1, 1]	[9, 14, 1, 1, 0]	[23, 1, 0, 0, 1]	[0.64, 0.3, 0.02, 0.02, 0.02]	[0.36, 0.56, 0.04, 0.04, 0.0]	[0.92, 0.04, 0.0, 0.0, 0.04]	1	0	1	0.5877220427544094	1	3	1	3	2.425675675675676	3.195945945945946	2.1446540880503147
Hauptfrage	1_2	50	25	25	[50]	[25]	[25]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.3958333333333335	3.526315789473684	3.2745098039215685
helfen	1_2	50	25	25	[46, 1, 1, 1]	[21, 1, 1, 1]	[25, 0, 0, 0]	[0.939, 0.02, 0.02, 0.02]	[0.875, 0.042, 0.042, 0.042]	[1.0, 0.0, 0.0, 0.0]	0	0	0	0.25594500389188235	1	3	1	3	3.125	3.5795454545454546	3.0669642857142856
hinrichten	1_2	50	25	25	[46, 3, 1]	[21, 3, 1]	[25, 0, 0]	[0.92, 0.06, 0.02]	[0.84, 0.12, 0.04]	[1.0, 0.0, 0.0]	1	0	1	0.2915894594836891	1	3	1	3	3.1549295774647885	4.0	3.4307692307692306
hochwichtig	1_2	50	25	25	[49]	[24]	[25]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.6196581196581197	3.5454545454545454	3.486792452830189
Kölner	1_2	50	25	25	[49]	[25]	[24]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.6458333333333335	3.510989010989011	3.531578947368421
Kompanie	1_2	50	25	25	[42, 4, 1, 1, 1]	[19, 4, 1, 0, 0]	[23, 0, 0, 1, 1]	[0.857, 0.082, 0.02, 0.02, 0.02]	[0.792, 0.167, 0.042, 0.0, 0.0]	[0.92, 0.0, 0.0, 0.04, 0.04]	1	0	1	0.3842398776171167	1	3	1	3	3.26027397260274	3.608695652173913	3.289285714285714
Königreich	1_2	50	25	25	[49]	[24]	[25]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.5789473684210527	3.7058823529411766	3.4761904761904763
Kriegskunst	1_2	50	25	25	[50]	[25]	[25]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.587962962962963	3.6016260162601625	3.5717391304347825
Kunde	1_2	50	25	25	[26, 23]	[1, 23]	[25, 0]	[0.531, 0.469]	[0.042, 0.958]	[1.0, 0.0]	1	1	1	0.9347759900209117	1	3	1	3	3.0681818181818183	3.9952830188679247	1.1044776119402986
Lager	1_2	50	25	25	[22, 12, 5, 4, 3]	[13, 1, 5, 1, 3]	[9, 11, 0, 3, 0]	[0.478, 0.261, 0.109, 0.087, 0.065]	[0.565, 0.043, 0.217, 0.043, 0.13]	[0.391, 0.478, 0.0, 0.13, 0.0]	1	1	1	0.5955748234910526	1	3	1	3	2.342391304347826	2.6968085106382977	2.1948356807511735
Lebenslage	1_2	50	25	25	[44, 1, 1]	[22, 1, 0]	[22, 0, 1]	[0.957, 0.022, 0.022]	[0.957, 0.043, 0.0]	[0.957, 0.0, 0.043]	0	0	0	0.20851441405707477	1	3	1	3	3.4285714285714284	3.441860465116279	3.1940298507462686
Losung	1_2	50	25	25	[31, 6, 6, 3, 1, 1]	[12, 6, 0, 3, 1, 1]	[19, 0, 6, 0, 0, 0]	[0.646, 0.125, 0.125, 0.062, 0.021, 0.021]	[0.522, 0.261, 0.0, 0.13, 0.043, 0.043]	[0.76, 0.0, 0.24, 0.0, 0.0, 0.0]	1	1	1	0.6125340586927884	1	3	1	3	1.9518072289156627	2.792929292929293	2.2540983606557377
Mauer	1_2	50	25	25	[44, 1, 1, 1, 1]	[25, 0, 0, 0, 0]	[19, 1, 1, 1, 1]	[0.917, 0.021, 0.021, 0.021, 0.021]	[1.0, 0.0, 0.0, 0.0, 0.0]	[0.826, 0.043, 0.043, 0.043, 0.043]	0	0	0	0.3048597677632855	1	3	1	3	3.221311475409836	2.754385964912281	2.8017241379310347
nebensächlich	1_2	50	25	25	[49, 1]	[24, 1]	[25, 0]	[0.98, 0.02]	[0.96, 0.04]	[1.0, 0.0]	0	0	0	0.1424585834571342	1	3	1	3	3.196969696969697	3.4545454545454546	3.3349514563106797
neunjahrig	1_2	50	25	25	[47, 1, 1, 1]	[22, 1, 1, 1]	[25, 0, 0, 0]	[0.94, 0.02, 0.02, 0.02]	[0.88, 0.04, 0.04, 0.04]	[1.0, 0.0, 0.0, 0.0]	0	0	0	0.2505284145776563	1	3	1	3	3.3181818181818183	3.5681818181818183	3.4005681818181817
niederschlagen	1_2	50	25	25	[12, 9, 7, 6, 4, 3, 2, 1, 1, 1, 1, 1, 1, 1]	[3, 1, 4, 4, 4, 2, 0, 1, 1, 1, 1, 1, 1, 1]	[9, 8, 3, 2, 0, 1, 2, 0, 0, 0, 0, 0, 0, 0]	[0.24, 0.18, 0.14, 0.12, 0.08, 0.06, 0.04, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]	[0.12, 0.04, 0.16, 0.16, 0.16, 0.08, 0.0, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04]	[0.36, 0.32, 0.12, 0.08, 0.0, 0.04, 0.08, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1	1	1	0.6414682850270843	1	3	1	3	1.5103092783505154	2.0652173913043477	1.6834677419354838
nochmalig	1_2	50	25	25	[49]	[25]	[24]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.6589147286821704	3.5708333333333333	3.607773851590106
preisgeben	1_2	50	25	25	[26, 16, 3, 3, 1, 1]	[18, 3, 1, 1, 1, 1]	[8, 13, 2, 2, 0, 0]	[0.52, 0.32, 0.06, 0.06, 0.02, 0.02]	[0.72, 0.12, 0.04, 0.04, 0.04, 0.04]	[0.32, 0.52, 0.08, 0.08, 0.0, 0.0]	0	0	0	0.4516203314281579	1	3	1	3	2.8055555555555554	2.848314606741573	2.6608187134502925
Querschnitt	1_2	50	25	25	[20, 16, 6, 4, 1, 1]	[15, 0, 5, 4, 1, 0]	[5, 16, 1, 0, 0, 1]	[0.417, 0.333, 0.125, 0.083, 0.021, 0.021]	[0.6, 0.0, 0.2, 0.16, 0.04, 0.0]	[0.217, 0.696, 0.043, 0.0, 0.0, 0.043]	1	1	1	0.7590006812464694	1	3	1	3	2.63768115942029	3.018181818181818	1.9385245901639345
Rädelsführer	1_2	50	25	25	[49, 1]	[25, 0]	[24, 1]	[0.98, 0.02]	[1.0, 0.0]	[0.96, 0.04]	0	0	0	0.1424585834571342	1	3	1	3	3.5	3.5377358490566038	3.3413461538461537
Rang	1_2	50	25	25	[25, 17, 3, 1, 1, 1, 1, 1]	[19, 2, 3, 1, 0, 0, 0, 0]	[6, 15, 0, 0, 1, 1, 1, 1]	[0.5, 0.34, 0.06, 0.02, 0.02, 0.02, 0.02, 0.02]	[0.76, 0.08, 0.12, 0.04, 0.0, 0.0, 0.0, 0.0]	[0.24, 0.6, 0.0, 0.0, 0.04, 0.04, 0.04, 0.04]	1	0	1	0.6517742500016237	1	3	1	3	3.043859649122807	2.7169811320754715	2.3445378151260505
regelrecht	1_2	50	25	25	[25, 22, 1, 1]	[22, 1, 1, 0]	[3, 21, 0, 1]	[0.51, 0.449, 0.02, 0.02]	[0.917, 0.042, 0.042, 0.0]	[0.12, 0.84, 0.0, 0.04]	1	1	0	0.7816224644871879	1	3	1	3	3.0853658536585367	3.391304347826087	1.6979166666666667
regulär	1_2	50	25	25	[23, 18, 5, 2]	[6, 16, 1, 1]	[17, 2, 4, 1]	[0.479, 0.375, 0.104, 0.042]	[0.25, 0.667, 0.042, 0.042]	[0.708, 0.083, 0.167, 0.042]	1	1	0	0.5455583496113747	1	3	1	3	2.967032967032967	3.0205479452054793	2.5517241379310347
Sprachrohr	1_2	50	25	25	[26, 19, 1, 1, 1, 1]	[2, 19, 1, 1, 1, 1]	[24, 0, 0, 0, 0, 0]	[0.531, 0.388, 0.02, 0.02, 0.02, 0.02]	[0.08, 0.76, 0.04, 0.04, 0.04, 0.04]	[1.0, 0.0, 0.0, 0.0, 0.0, 0.0]	1	0	1	0.8912288391423884	1	3	1	3	3.409090909090909	3.590909090909091	2.1824324324324325
Täter	1_2	50	25	25	[47, 1]	[24, 1]	[23, 0]	[0.979, 0.021]	[0.96, 0.04]	[1.0, 0.0]	0	0	0	0.1424585834571342	1	3	1	3	3.1714285714285713	3.4293478260869565	3.1176470588235294
Tote	1_2	50	25	25	[46, 1, 1, 1]	[23, 1, 0, 0]	[23, 0, 1, 1]	[0.939, 0.02, 0.02, 0.02]	[0.958, 0.042, 0.0, 0.0]	[0.92, 0.0, 0.04, 0.04]	0	0	0	0.24721551866186392	1	3	1	3	3.2545454545454544	3.4508196721311477	3.025925925925926
Triebkraft	1_2	50	25	25	[33, 13, 2, 1]	[10, 13, 1, 1]	[23, 0, 1, 0]	[0.673, 0.265, 0.041, 0.02]	[0.4, 0.52, 0.04, 0.04]	[0.958, 0.0, 0.042, 0.0]	1	0	1	0.6043929848532574	1	3	1	3	2.8404255319148937	3.7717391304347827	2.8349514563106797
Überflutung	1_2	50	25	25	[36, 14]	[13, 12]	[23, 2]	[0.72, 0.28]	[0.52, 0.48]	[0.92, 0.08]	0	0	0	0.3936222141360844	1	3	1	3	2.784090909090909	3.488888888888889	3.0
überwintern	1_2	50	25	25	[40, 6, 2, 1]	[22, 3, 0, 0]	[18, 3, 2, 1]	[0.816, 0.122, 0.041, 0.02]	[0.88, 0.12, 0.0, 0.0]	[0.75, 0.125, 0.083, 0.042]	0	0	0	0.25744957066989754	1	3	1	3	3.375	2.855769230769231	2.93006993006993
unbedenklich	1_2	50	25	25	[37, 7, 4, 1, 1]	[22, 1, 1, 1, 0]	[15, 6, 3, 0, 1]	[0.74, 0.14, 0.08, 0.02, 0.02]	[0.88, 0.04, 0.04, 0.04, 0.0]	[0.6, 0.24, 0.12, 0.0, 0.04]	1	1	0	0.36260882691860535	1	3	1	3	3.1780821917808217	2.9411764705882355	2.6578947368421053
ungebrechen	1_2	50	25	25	[31, 4, 4, 3, 1, 1, 1, 1, 1, 1, 1]	[9, 4, 4, 2, 1, 1, 1, 1, 1, 1, 0]	[22, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1]	[0.633, 0.082, 0.082, 0.061, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02, 0.02]	[0.36, 0.16, 0.16, 0.08, 0.04, 0.04, 0.04, 0.04, 0.04, 0.04, 0.0]	[0.917, 0.0, 0.0, 0.042, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.042]	1	0	1	0.6291407906291369	1	3	1	3	2.3706896551724137	2.973684210526316	2.3384615384615386
Vernehmen	1_2	50	25	25	[32, 10, 3, 2, 1, 1]	[9, 10, 2, 1, 1, 1]	[23, 0, 1, 1, 0, 0]	[0.653, 0.204, 0.061, 0.041, 0.02, 0.02]	[0.375, 0.417, 0.083, 0.042, 0.042, 0.042]	[0.92, 0.0, 0.04, 0.04, 0.0, 0.0]	1	0	1	0.5839359614019648	1	3	1	3	2.2409638554216866	3.591549295774648	2.41875
Vernichtungskrieg	1_2	50	25	25	[40, 5, 2, 1, 1, 1]	[16, 4, 2, 1, 1, 1]	[24, 1, 0, 0, 0, 0]	[0.8, 0.1, 0.04, 0.02, 0.02, 0.02]	[0.64, 0.16, 0.08, 0.04, 0.04, 0.04]	[0.96, 0.04, 0.0, 0.0, 0.0, 0.0]	1	0	1	0.3886472886146625	1	3	1	3	2.667832167832168	3.4347826086956523	2.7836879432624113
Vorbereitung	1_2	50	25	25	[48, 1, 1]	[24, 1, 0]	[24, 0, 1]	[0.96, 0.02, 0.02]	[0.96, 0.04, 0.0]	[0.96, 0.0, 0.04]	0	0	0	0.2	1	3	1	3	3.0851063829787235	3.1	2.8155339805825244
vorjährig	1_2	50	25	25	[48, 1]	[23, 1]	[25, 0]	[0.98, 0.02]	[0.958, 0.042]	[1.0, 0.0]	0	0	0	0.14544106608363203	1	3	1	3	3.380952380952381	3.9827586206896552	3.663157894736842
Waffenruhe	1_2	50	25	25	[50]	[25]	[25]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.6031746031746033	3.875	3.7097902097902096
Walzwerk	1_2	50	25	25	[49]	[25]	[24]	[1.0]	[1.0]	[1.0]	0	0	0	0.0	1	3	1	3	3.3114754098360657	3.9047619047619047	3.162280701754386
Warschauer	1_2	50	25	25	[23, 21, 2, 2, 1, 1]	[2, 18, 2, 1, 1, 1]	[21, 3, 0, 1, 0, 0]	[0.46, 0.42, 0.04, 0.04, 0.02, 0.02]	[0.08, 0.72, 0.08, 0.04, 0.04, 0.04]	[0.84, 0.12, 0.0, 0.04, 0.0, 0.0]	0	0	0	0.7179361049399006	1	3	1	3	2.886904761904762	3.2873563218390807	2.308383233532934
Westen	1_2	50	25	25	[28, 11, 7, 1, 1, 1, 1]	[22, 1, 0, 1, 1, 0, 0]	[6, 10, 7, 0, 0, 1, 1]	[0.56, 0.22, 0.14, 0.02, 0.02, 0.02, 0.02]	[0.88, 0.04, 0.0, 0.04, 0.04, 0.0, 0.0]	[0.24, 0.4, 0.28, 0.0, 0.0, 0.04, 0.04]	1	1	0	0.695368477004788	1	3	1	3	3.3773584905660377	2.7941176470588234	2.6825396825396823
wuchernd	1_2	50	25	25	[35, 12, 1, 1, 1]	[20, 4, 1, 0, 0]	[15, 8, 0, 1, 1]	[0.7, 0.24, 0.02, 0.02, 0.02]	[0.8, 0.16, 0.04, 0.0, 0.0]	[0.6, 0.32, 0.0, 0.04, 0.04]	0	0	0	0.2999154957699696	1	3	1	3	2.9	2.75	2.7803738317757007
Zehner	1_2	50	25	25	[20, 18, 2, 1, 1, 1, 1, 1, 1]	[20, 0, 1, 1, 1, 1, 0, 0, 0]	[0, 18, 1, 0, 0, 0, 1, 1, 1]	[0.435, 0.391, 0.043, 0.022, 0.022, 0.022, 0.022, 0.022, 0.022]	[0.833, 0.0, 0.042, 0.042, 0.042, 0.042, 0.0, 0.0, 0.0]	[0.0, 0.818, 0.045, 0.0, 0.0, 0.0, 0.045, 0.045, 0.045]	1	1	1	0.978007572653369	1	3	1	3	2.7429906542056073	3.25	1.3385416666666667
Zurückgebleibene	1_2	50	25	25	[45, 4]	[21, 4]	[24, 0]	[0.918, 0.082]	[0.84, 0.16]	[1.0, 0.0]	1	0	1	0.29158945948368914	1	3	1	3	2.9411764705882355	3.4	2.982456140350877
zurückwerfen	1_2	50	25	25	[18, 12, 10, 3, 2, 1, 1, 1, 1, 1]	[5, 9, 4, 3, 2, 1, 1, 0, 0, 0]	[13, 3, 6, 0, 0, 0, 0, 1, 1, 1]	[0.36, 0.24, 0.2, 0.06, 0.04, 0.02, 0.02, 0.02, 0.02, 0.02]	[0.2, 0.36, 0.16, 0.12, 0.08, 0.04, 0.04, 0.0, 0.0, 0.0]	[0.52, 0.12, 0.24, 0.0, 0.0, 0.0, 0.0, 0.04, 0.04, 0.04]	1	0	1	0.5515770725157656	1	3	1	3	2.3421052631578947	2.4478260869565216	2.222689075630252
Zuwachs	1_2	50	25	25	[31, 15, 1, 1, 1]	[12, 11, 1, 0, 0]	[19, 4, 0, 1, 1]	[0.633, 0.306, 0.02, 0.02, 0.02]	[0.5, 0.458, 0.042, 0.0, 0.0]	[0.76, 0.16, 0.0, 0.04, 0.04]	0	0	0	0.36669874505850003	1	3	1	3	2.7738095238095237	2.9148936170212765	2.744565217391304
