lemma	grouping	nodes	nodes1	nodes2	cluster_freq_dist	cluster_freq_dist1	cluster_freq_dist2	cluster_prob_dist	cluster_prob_dist1	cluster_prob_dist2	change_binary	change_binary_gain	change_binary_loss	change_graded	k1	n1	k2	n2
central	1_2	200	100	100	[162, 11, 4, 1, 1, 1, 1, 1]	[85, 2, 1, 1, 1, 1, 0, 0]	[77, 9, 3, 0, 0, 0, 1, 1]	[0.89, 0.06, 0.022, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.934, 0.022, 0.011, 0.011, 0.011, 0.011, 0.0, 0.0]	[0.846, 0.099, 0.033, 0.0, 0.0, 0.0, 0.011, 0.011]	0	0	0	0.2286553797	1	5	1	5
dun	1_2	200	100	100	[122, 1, 1]	[44, 1, 1]	[78, 0, 0]	[0.984, 0.008, 0.008]	[0.957, 0.022, 0.022]	[1.0, 0.0, 0.0]	0	0	0	0.1486190976	1	5	1	5
fack	1_2	200	100	100	[47, 43, 7, 3, 2, 2, 1, 1]	[7, 19, 7, 0, 1, 1, 1, 0]	[40, 24, 0, 3, 1, 1, 0, 1]	[0.443, 0.406, 0.066, 0.028, 0.019, 0.019, 0.009, 0.009]	[0.194, 0.528, 0.194, 0.0, 0.028, 0.028, 0.028, 0.0]	[0.571, 0.343, 0.0, 0.043, 0.014, 0.014, 0.0, 0.014]	1	0	1	0.4765152401	1	5	1	5
fången	1_2	197	97	100	[188, 3, 1, 1, 1, 1]	[96, 0, 1, 0, 0, 0]	[92, 3, 0, 1, 1, 1]	[0.964, 0.015, 0.005, 0.005, 0.005, 0.005]	[0.99, 0.0, 0.01, 0.0, 0.0, 0.0]	[0.939, 0.031, 0.0, 0.01, 0.01, 0.01]	0	0	0	0.1903990008	1	5	1	5
färg	1_2	200	100	100	[190, 4, 1]	[96, 0, 0]	[94, 4, 1]	[0.974, 0.021, 0.005]	[1.0, 0.0, 0.0]	[0.949, 0.04, 0.01]	0	0	0	0.1603885631	1	5	1	5
förhandling	1_2	195	95	100	[194]	[95]	[99]	[1.0]	[1.0]	[1.0]	0	0	0	0	1	5	1	5
framlida	1_2	200	100	100	[65, 10, 2, 1, 1]	[24, 8, 1, 1, 1]	[41, 2, 1, 0, 0]	[0.823, 0.127, 0.025, 0.013, 0.013]	[0.686, 0.229, 0.029, 0.029, 0.029]	[0.932, 0.045, 0.023, 0.0, 0.0]	0	0	0	0.3009534983	1	5	1	5
gagn	1_2	200	100	100	[195]	[96]	[99]	[1.0]	[1.0]	[1.0]	0	0	0	0	1	5	1	5
gloria	1_2	200	100	100	[66, 47, 9, 1, 1, 1, 1, 1, 1]	[27, 19, 0, 1, 1, 1, 0, 0, 0]	[39, 28, 9, 0, 0, 0, 1, 1, 1]	[0.516, 0.367, 0.07, 0.008, 0.008, 0.008, 0.008, 0.008, 0.008]	[0.551, 0.388, 0.0, 0.02, 0.02, 0.02, 0.0, 0.0, 0.0]	[0.494, 0.354, 0.114, 0.0, 0.0, 0.0, 0.013, 0.013, 0.013]	1	1	0	0.3289947424	1	5	1	5
granskare	1_2	189	100	89	[137]	[58]	[79]	[1.0]	[1.0]	[1.0]	0	0	0	0	1	5	1	5
ingående	1_2	200	100	100	[35, 32, 30, 29, 11, 10, 8, 7, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[22, 15, 16, 19, 0, 5, 4, 5, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[13, 17, 14, 10, 11, 5, 4, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0.179, 0.164, 0.154, 0.149, 0.056, 0.051, 0.041, 0.036, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.227, 0.155, 0.165, 0.196, 0.0, 0.052, 0.041, 0.052, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.133, 0.173, 0.143, 0.102, 0.112, 0.051, 0.041, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]	1	1	0	0.5008986518	1	5	1	5
jordisk	1_2	200	100	100	[192, 1, 1]	[95, 1, 0]	[97, 0, 1]	[0.99, 0.005, 0.005]	[0.99, 0.01, 0.0]	[0.99, 0.0, 0.01]	0	0	0	0.1015400531	1	5	1	5
kemisk	1_2	200	100	100	[199]	[99]	[100]	[1.0]	[1.0]	[1.0]	0	0	0	0	1	5	1	5
kokärt	1_2	200	100	100	[200]	[100]	[100]	[1.0]	[1.0]	[1.0]	0	0	0	0	1	5	1	5
konduktör	1_2	200	100	100	[182, 10, 1, 1, 1, 1, 1, 1]	[85, 10, 1, 1, 1, 1, 0, 0]	[97, 0, 0, 0, 0, 0, 1, 1]	[0.919, 0.051, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.859, 0.101, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0]	[0.98, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01]	1	0	1	0.2892968727	1	5	1	5
krita	1_2	200	100	100	[116, 18, 10, 2, 1, 1, 1, 1]	[72, 0, 1, 1, 1, 0, 0, 0]	[44, 18, 9, 1, 0, 1, 1, 1]	[0.773, 0.12, 0.067, 0.013, 0.007, 0.007, 0.007, 0.007]	[0.96, 0.0, 0.013, 0.013, 0.013, 0.0, 0.0, 0.0]	[0.587, 0.24, 0.12, 0.013, 0.0, 0.013, 0.013, 0.013]	1	1	0	0.463564738	1	5	1	5
ledning	1_2	200	100	100	[117, 14, 3]	[62, 0, 0]	[55, 14, 3]	[0.873, 0.104, 0.022]	[1.0, 0.0, 0.0]	[0.764, 0.194, 0.042]	1	1	0	0.359845927	1	5	1	5
medium	1_2	200	100	100	[98, 29, 11, 8, 5, 4, 3, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[70, 0, 3, 0, 0, 4, 2, 1, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]	[28, 29, 8, 8, 5, 0, 1, 1, 2, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1]	[0.551, 0.163, 0.062, 0.045, 0.028, 0.022, 0.017, 0.011, 0.011, 0.011, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006, 0.006]	[0.795, 0.0, 0.034, 0.0, 0.0, 0.045, 0.023, 0.011, 0.0, 0.0, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.311, 0.322, 0.089, 0.089, 0.056, 0.0, 0.011, 0.011, 0.022, 0.022, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011]	1	1	0	0.6684128656	1	5	1	5
mode	1_2	200	100	100	[103, 1, 1, 1, 1, 1, 1, 1, 1]	[35, 1, 1, 1, 1, 1, 1, 0, 0]	[68, 0, 0, 0, 0, 0, 0, 1, 1]	[0.928, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009]	[0.854, 0.024, 0.024, 0.024, 0.024, 0.024, 0.024, 0.0, 0.0]	[0.971, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.014, 0.014]	0	0	0	0.3003319794	1	5	1	5
motiv	1_2	200	100	100	[167, 19, 2, 1]	[91, 0, 0, 0]	[76, 19, 2, 1]	[0.884, 0.101, 0.011, 0.005]	[1.0, 0.0, 0.0, 0.0]	[0.776, 0.194, 0.02, 0.01]	1	1	0	0.3500137568	1	5	1	5
notis	1_2	200	100	100	[161, 24, 2]	[74, 18, 2]	[87, 6, 0]	[0.861, 0.128, 0.011]	[0.787, 0.191, 0.021]	[0.935, 0.065, 0.0]	0	0	0	0.1974749405	1	5	1	5
sittning	1_2	189	100	89	[24, 12, 8, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[2, 10, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0]	[22, 2, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1]	[0.429, 0.214, 0.143, 0.018, 0.018, 0.018, 0.018, 0.018, 0.018, 0.018, 0.018, 0.018, 0.018, 0.018, 0.018]	[0.083, 0.417, 0.125, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.042, 0.0, 0.0, 0.0]	[0.688, 0.062, 0.156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.031, 0.031, 0.031]	0	0	0	0.7323423395	1	5	1	5
stöt	1_2	200	100	100	[70, 11, 10, 5, 2, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[15, 9, 4, 2, 2, 0, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]	[55, 2, 6, 3, 0, 2, 2, 0, 0, 0, 1, 1, 1, 1, 1, 1]	[0.631, 0.099, 0.09, 0.045, 0.018, 0.018, 0.018, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009, 0.009]	[0.429, 0.257, 0.114, 0.057, 0.057, 0.0, 0.0, 0.029, 0.029, 0.029, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.724, 0.026, 0.079, 0.039, 0.0, 0.026, 0.026, 0.0, 0.0, 0.0, 0.013, 0.013, 0.013, 0.013, 0.013, 0.013]	0	0	0	0.4968272753	1	5	1	5
studie	1_2	200	100	100	[194, 4]	[98, 0]	[96, 4]	[0.98, 0.02]	[1.0, 0.0]	[0.96, 0.04]	0	0	0	0.1424585835	1	5	1	5
undertrycka	1_2	200	100	100	[181, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[88, 1, 0, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0]	[93, 1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1]	[0.928, 0.01, 0.01, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.907, 0.01, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0]	[0.949, 0.01, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01]	0	0	0	0.2489666712	1	5	1	5
uppfattning	1_2	183	83	100	[160, 2, 1, 1, 1, 1]	[66, 2, 1, 1, 1, 0]	[94, 0, 0, 0, 0, 1]	[0.964, 0.012, 0.006, 0.006, 0.006, 0.006]	[0.93, 0.028, 0.014, 0.014, 0.014, 0.0]	[0.989, 0.0, 0.0, 0.0, 0.0, 0.011]	0	0	0	0.2028516555	1	5	1	5
uppfostran	1_2	200	100	100	[198]	[99]	[99]	[1.0]	[1.0]	[1.0]	0	0	0	0	1	5	1	5
uppläggning	1_2	200	100	100	[160, 11, 10, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[92, 3, 1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[68, 8, 9, 1, 2, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0.8, 0.055, 0.05, 0.01, 0.01, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.92, 0.03, 0.01, 0.01, 0.0, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.68, 0.08, 0.09, 0.01, 0.02, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]	1	1	0	0.3648140742	1	5	1	5
uppslag	1_2	197	97	100	[84, 43, 11, 6, 3, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[2, 43, 6, 6, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]	[82, 0, 5, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]	[0.426, 0.218, 0.056, 0.03, 0.015, 0.01, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.021, 0.443, 0.062, 0.062, 0.01, 0.021, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.82, 0.0, 0.05, 0.0, 0.02, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01]	1	0	1	0.9277235116	1	5	1	5
uträtta	1_2	200	100	100	[199]	[99]	[100]	[1.0]	[1.0]	[1.0]	0	0	0	0	1	5	1	5
vaktmästare	1_2	200	100	100	[200]	[100]	[100]	[1.0]	[1.0]	[1.0]	0	0	0	0	1	5	1	5
vegetation	1_2	200	100	100	[199, 1]	[100, 0]	[99, 1]	[0.995, 0.005]	[1.0, 0.0]	[0.99, 0.01]	0	0	0	0.070838721	1	5	1	5
