lemma	pos	indexes	preceding_sentences	sentences	following_sentences	dates	filenames	identifiers	descriptions
clave	j	19	y funcionando, deberíamos terminar la configuración. Estamos empezando a configurarlo específicamente para nuestra nueva aplicación holamundo. Si quieres usar una base de datos con tu aplicación (cosa que haremos en este tutorial), abre system/application/config/database.php y establece los siguientes elementos a los valores.	Este código conecta a una base de datos MySQL llamada holamundo en localhost con el usuario root y la clave root.	Además, como vamos a usar la base de datos un poco, queremos que se cargue automáticamente para no tener que hacerlo cada vez que conectemos. Abre system/application/config/autoload.php y agrega 'database' a la variable array de carga automática de módulos. autoload ['libraries'] = array ('database'); Actualmente, la configuración de CI tendrá	1	cu-b-0.txt	control_11	[CU] Cuba
clave	nms    	1	tanto desde el punto de vista material como mental, y sobre cómo centrarnos en lo realmente esencial para alcanzar así nuestras metas y disfrutar al máximo de la vida. La cultura occidental actual nos tiene sumidos en una vorágine de consumo, tanto de objetos materiales como de información. Podemos ser mucho más felices teniendo menos posesiones y mucho más productivos trabajando menos horas.	La clave está en centrarse en lo importante.	Luis José Sánchez, Ingeniero Técnico en Informática de Gestión, y actualmente profesor de Informática. Vivo en Málaga (España), un lugar estupendo para hacer una de las cosas que más me gustan, andar por el campo. Soy vegetariano, me encanta la música, leer, hacer deporte y los idiomas (especialmente	0	es-b-0.txt	control_12	[ES] Spain
capital	nms    	31	en Cuba, desde 1912, abogaron por la unión intersectorial -y con los hombres- para lograr sus anhelos y que hoy son merecedoras de la trascendencia que de la historia se deriva.	Feministas por ideología, incomprendidas en su mayoría y hasta tildadas de lesbianas en aquel entonces, ellas protagonizaron un movimiento que marca su inicio cien años atrás, cuando se crearon en la capital cubana tres organizaciones de ese corte: el Partido Nacional Femenino, el Partido de Sufragistas Cubanas y el Partido Popular Feminista, a través de las cuales llevaron adelante su empeño por hacer valer sus derechos en una sociedad que por herencia histórica era-y es- patriarcal y machista.	La importancia del movimiento del feminismo en Cuba fue tal que hoy se le considera,	1	cu-b-0.txt	control_13	[CU] Cuba
capital	nms	21	el Norte de Tenerife La campaña Ven a Santa Cruz de compras el próximo domingo se apoya en la emisión de un vídeo en 45 hoteles de Arona, Adeje, Guía de Isora, Santiago del Teide, Puerto de la Cruz y Los Realejos.	El alcalde accidental santacrucero, Florentino Guzmán, dice que se están dando los pasos para que su ciudad sea de nuevo la capital de Canarias.	El alcalde accidental, José Ángel Martín, destacó en la presentación de este evento que la capital está bien dinamizada por la Sociedad de Desarrollo y los empresarios ya no discuten quién abre, sino cuánta gente va a venir. ?? Se están dando los pasos para que Santa Cruz de Tenerife sea de nuevo la capital de Canarias, resumió Martín el	0	es-b-0.txt	control_14	[ES] Spain
capital	nms    	11	actores que intervienen en la política de el baloncesto español y europeo. Se puede decir que es una persona que goza de el pragmatismo y que en pocas veces exhibe el idealismo en sus principios básicos como dirigente. El Tío Gilito no entiende el principio de riqueza como producto final de su trabajo en el baloncesto.	 La comprensión de la riqueza como la acumulación de el capital sin tener en cuenta que se puede crear riqueza nueva a partir de la distribución de la misma.	Tío Gilito en este sentido sospecha de los agentes externos, los Golfos Apandadores, como meras amenazas con el fin de robar le su riqueza. De ahí su postura rácana y a la defensiva frente a las iniciativas planteadas. Sólo por esta razón se puede comprender	0	es-b-0.txt	control_15	[ES] Spain
capital	nms    	28	de documentales Hot Docs de Toronto su película Otra noche en la Tierra sobre la revolución egipcia, dijo hoy que la situación en los países árabes es muy compleja y que en cada país las circunstancias son muy diferentes.	Muñoz rodó Otra noche en la Tierra poco después del estallido de la revolución egipcia y lo hizo con vídeos filmados en el interior de taxis de la capital egipcia que capturaban las conversaciones francas, y a veces disparatadas, de conductores y clientes.	La idea surgió unos meses antes de la revolución. Estaba trabajando como jurado en un festival de cine en Ismailía, en el Canal de Suez. Tuve un día libre para visitar El Cairo y me pasé el 70% del día en el taxi por los atascos en	0	es-b-0.txt	control_16	[ES] Spain
ratón	nmp    	3	algunos de los personajes no han sido aún identificados. La pieza se encuentra dañada en la parte superior.  enero 28, 2011 Un medicamento utilizado para tratar trastornos autoinmunes como lupus, artritis y psoriasis, facilita el trasplante de médula ósea, al combatir la dolencia conocida como injerto versus anfitrión (graft-versus-host disease, GVHD), según un estudio.	La investigación con ratones sometidos a experimentos de trasplante de médula ósea, proporciona nuevos enfoques para combatir las enfermedades autoinmunes.	Científicos de la Universidad de Michigan (UM) y la Universidad de la Florida, Estados Unidos, dirigidos por Gary Glick, probaron el compuesto Bz-423, análogo a medicamentos contra la ansiedad tales como el Valium y Xanax, que provoca la muerte de células de la médula	1	cu-b-0.txt	control_17	[CU] Cuba
ratón	nmp    	3	dirigidos fundamentalmente a profesionales de la salud. La información que suministramos no debe ser utilizada, bajo ninguna circunstancia, como base para realizar diagnósticos médicos, procedimientos clínicos, quirúrgicos o análisis de laboratorio, ni para la prescripción de tratamientos o medicamentos, sin previa orientación médica.  junio 5, 2013 Nacen iguales pero con el tiempo terminan por diferenciarse.	Un estudio en ratones trata de explicar cómo se desarrolla la singularidad en los gemelos monocigóticos.	El trabajo muestra por primera vez que las experiencias personales y de comportamiento contribuyen a la individualización del cerebro. Un grupo internacional de científicos se ha preguntado cuál es la relación entre la estructura del cerebro y las experiencias de cada individuo, lo que podría explicar por qué los gemelos idénticos no	1	cu-b-0.txt	control_18	[CU] Cuba
ratón	nmp    	14	añade. Nuevas neuronas en cerebros individuales En el experimento llevado a cabo para estudiar las conductas específicas, cada uno de los ratones estaba equipado con un micro-chip que emitía señales electromagnéticas, lo que permitió a los científicos construir perfiles de movimiento de los roedores y cuantificar su comportamiento.	Como indican los autores, a pesar de un entorno común y genes idénticos, los ratones mostraron patrones de comportamiento altamente individualizados, reaccionando a su entorno de manera diferente.	Es más, durante los tres meses de experimento estas desigualdades se incrementaron. Estas discrepancias se asociaron con diferencias en la generación de nuevas neuronas en el hipocampo, una región del cerebro que apoya el aprendizaje y la memoria, sostiene Kempermann. Según el investigador, en los animales que	1	cu-b-0.txt	control_19	[CU] Cuba
ratón	nms    	6	que observes una pequeña demora cuando esto ocurra. Reposo de la pantalla: cuando la pantalla entra en el modo de reposo, ésta se oscurece aunque las aplicaciones que se están ejecutando permanecen activas. Si la pantalla tiene un indicador de encendido, éste puede cambiar para indicar que la pantalla se encuentra en el modo de bajo consumo.	Para activar la pantalla, mueve el ratón, toca el trackpad o pulsa una tecla de el teclado.	Reposo del sistema: conocido como reposo, cuando el sistema entra en dicho modo, el ordenador (así como el disco duro y la pantalla) entran en un modo de bajo consumo. El indicador de encendido del ordenador se ilumina de manera intermitente, parpadea o se pone de color ámbar	0	es-b-0.txt	control_20	[ES] Spain
sierra	nfs	22	se a alternativas más ergonómicas, como el teclado Dvorak, debido a su popularización. Diagrama Armado Corta del tablero de contrachapado los 2 laterales largos (LateralL) y con un router realiza los rebajes como se indican en el diagrama.	Corta los 2 laterales cortos (LateralC) como se muestra en el diagrama y realiza una perforación en el punto señalado con una sierra copa (sierra de corona) donde encastrará la manija.	Corta la base con las medidas indicadas en el diagrama. Lija todas las partes con una lija de grano medio a fino (de 120 a 180) Usando el adhesivo de montaje o el adhesivo epoxi (preferentemente este último ya que es más fuerte) une los laterales y la base; asegúralo con	1	cu-b-0.txt	control_21	[CU] Cuba
sierra	nfs    	47	un soldado del bando cristino es fusilado por su propio hijo, que milita en el bando carlista.	Esta ejecución encubre un conflicto interno que los protagonistas nos van desvelando a lo largo de esta novela, que transcurre desde que el general salió de Pamplona en un amanecer lluvioso hasta su muerte en el palacio de Vargas de Begoña en Bilbao, tras luchar en la sierra de Urbasa, en la batalla de Viana y en las múltiples escaramuzas de guerrilla que tuvieron lugar en tierras vascas y navarras.	Historia, intriga, espionaje, política y la psicología profunda de los personajes en conflicto nos sumergen de lleno en una de las guerras más crueles de el siglo XIX. Se puede leer el primer capítulo y escuchar 3 fragmentos de la novela	0	es-b-0.txt	control_22	[ES] Spain
sierra	o	27	/DICYT El Museo de la Evolución Humana (MEH) ha organizado un ciclo de conferencias con algunos de los investigadores más destacados que participan en la campaña de excavación de los yacimientos de la Sierra de Atapuerca del verano.	El ciclo Charlando con los Investigadores reúne tres charlas que versarán sobre las relaciones e interacciones entre los grupos humanos y la diversa fauna que habitó la sierra en la prehistoria.	Será también una gran ocasión para conocer esta fauna que pobló Atapuerca a lo largo del tiempo. Desde hace 35 años los científicos que trabajan en los yacimientos de la Sierra de Atapuerca han recuperado miles de fósiles y restos de la cultura material de los diferentes grupos humanos que ocuparon este territorio. A lo largo de estas tres conferencias se podrá	0	es-b-0.txt	control_23	[ES] Spain
sierra	nfp    	37	el peso en aquellos viejos tiempos ¡¡Como digo la obsesión era eso... bajar peso, ya que no parecía posible bajar nuestro peso	...al menos que lo hicieran nuestras trotonas, y todo eso venía motivado porque quienes teníamos que tirar por nuestras bicicletas por diversos lares para hacer factibles aquellos sueños de ciclar nuestras viejas rutas montañeras, fuimos conquistando caminos, sierras, travesías y senderos.	¡¡Lo que tuve que oír a los compañeros de andanzas por aquellos arrastres de bici en cada salida... ¿¿Y ahora no solo se arrastran trotonas de casi 15 o 16 kg como las BTT de enduro o descenso u otras... y por si esto fuera poco, además se arrastran otros complementos durante	0	es-b-0.txt	control_24	[ES] Spain
brazo	nms    	12	27.7.13 JUL144. RICARDO, de Rafa Heredero García Ricardo y yo llevábamos poco tiempo casados y él seguía enfadado con sus aristocráticos padres -me acusaban de ser una embustera, de haber engañado a su único hijo, de querer solo su dinero-, cuando un inoportuno accidente acabó con su vida.	Me sentí como esas personas a las que les han amputado un brazo o una pierna, pero a pesar de ello sienten un dolor sordo allí donde no hay más que ausencia, hasta que empecé a notar que él de verdad sí estaba conmigo.	Al principio me asusté, cuando veía que las puertas se abrían a mi paso (¡ siempre fue tan educado!), cuando la radio se encendía sola e invariablemente sonaba nuestra	0	es-b-0.txt	control_25	[ES] Spain
brazo	nmp    	31	con su entorno de otras maneras. LOS PULPOS Un pulpo que utiliza cáscaras de coco como armadura portátil es la última adición a una lista creciente de usuarios de las herramientas en el reino animal.	El pulpo veteado aparentemente puede apilar las mitades de cáscara de coco que la gente descarta como uno podría pila de platos, se sienta encima de ellos, hace que sus ocho brazos rígidos como zancos, y deambula todo el montón en el fondo marino, su uso para la vivienda más tarde, cuando sea necesario.	Estos nuevos resultados son al parecer el primer caso reportado de un invertebrado que adquiere las herramientas para su uso posterior. miércoles, 15 de junio de 2011 Tanto en los libros de historia de las escuelas se presentan imágenes	0	es-b-0.txt	control_26	[ES] Spain
brazo	nms    	48	familiares del día del patrón (todos los jueves) era ver ese espectáculo macabro.	Pero que acabaron viniendo porque si se hubieran ido a la playa, los abuelos se habrían apuntado y que no les apetecía, que bastante los veían ya cuando les traían los críos del colegio a casa todos los días, que les das la mano y se cogen el brazo.	Una ensalada sin atún para todos. Los niños se la comen sin parar de rascarse todo el cuerpo. Tienen pulgas de jugar con el perro, dice la madre. A los perros de los pueblos rurales hay que tirarles piedras, dice mi hija mayor. Se levantan y van a otra mesa sin despedirse. Escrito por Milo J. Krmpotic	0	es-b-0.txt	control_27	[ES] Spain
brazo	nms    	15	te deja en buen lugar. Ni tampoco suele aparecer en dichos listados. Cada cual lee por un motivo y yo me he pasado muchos meses preguntando y anotando vuestros libros, ideas sugerencias y pasiones literarias. Lo que aún no os he preguntado es el motivo que os impulsa a leer.	Ese que hace que cuando nos sentemos en el sofá de casa no alarguemos el brazo para coger el mando a distancia porque ya hemos llegado con un libro en la mano.	Y eso es lo que me gustaría saber hoy. Poder hacer una suerte de decálogo de motivos para leer como esos que la gente cuelga en las redes y que han sido escritos por personas ocurrentes o con ingenio. Pero uno de verdad, nuestro. Ya sea porque la	0	es-b-0.txt	control_28	[ES] Spain
brazo	nms    	16	construida en el piso superior, - ¡sobre un colchón de palabras! - le dijimos por la noche. La biblioteca, le acogió silenciosa, vigilante, mientras caminaba en dirección a la mesa de José Saramago, aquella en la que escribió Caín y El viaje de el elefante.	El bebé tendió la mano y la pasó suavemente por la manta que hay sobre el brazo de la silla de José.	Por allí, correteando, le hice algunas fotos. El bebé se cuela correteando en la biblioteca de Saramago y de Pilar del Río. En la silla que se ve a el fondo escribió El viaje de el elefante Pilar del Río nos invitó a pasar unos días en Lanzarote. Allí, sobre la casa que da cobijo a	0	es-b-0.txt	control_29	[ES] Spain
brazo	nmp    	6	en lo que va de torneo y a el borde de un papelón histórico. En una noche donde Uruguay tuvo muchos héroes, destacamos primero a la tremenda labor de el joven Mathias Calfani, autor de 10 puntos, 8 rebotes y 3 tapas, pero con un cierre de partido monumental, haciendo absolutamente de todo en ambos costados.	Su combinación de agilidad, determinación y brazos largos, lo hacen una pesadilla en el costado defensivo.	Sin dudas, uno de los mejores proyectos de internos que tiene sudamérica. Esteban Batista dominó temprano en el partido y estableció las primeras ventajas para la Celeste. Luego se cansó y aflojó bastante, pero igual acabó con 22 puntos y 13 rebotes. Más que bienvenido el regreso de Batista a este nivel de	0	es-b-0.txt	control_30	[ES] Spain
aeroplano	nms    	11	deudas. Franklin se encarga del trabajo sucio y no dudará en ir a por los morosos para cumplir con su cometido. Se ha pasado media vida al volante de auténticos cochazos, lo que le ha convertido en un conductor de primera a quien le apasiona la velocidad y las descargas de adrenalina.	A Franklin no es difícil verle a punto de pilotar cualquier aeroplano con el que surcar el cielo infinito de la ciudad de Los Santos.	Trevor es el claro ejemplo de bala pérdida. Otrora compañero de fechorías de Michael, la vida de Trevor no se asemeja en nada con la de su antiguo camarada. A kilómetros de la ciudad y confinado en una caravana junto al lago Alamo Sea, el alcohol y las drogas son	0	es-b-2.txt	control_31	[ES] Spain
avión	nms    	4	2012 En lo bueno y en lo malo - Carole Matthews Josie es una mujer que no ha tenido mucha suerte en su matrimonio. Su marido un buen día decidió liarse con otra y cogió repentinamente las maletas y se marchó de casa. Pero ahora ha cambiado de idea y pretende que Josie vuelva a hacerle un hueco en su vida.	En el viaje en avión desde Londres a Nueva York donde se dirige para asistir a la boda de su prima Martha conoce a Matt, un periodista musical que le inspira mucha confianza.  	A pesar del desengaño amoroso que acaba de sufrir no duda en poner ciertas esperanzas cuando este hombre le pide una cita. Claro que las apariencias engañan porque este hombre le da un sonoro plantón la noche antes	0	es-b-0.txt	control_32	[ES] Spain
tomar	vr	29	porque son perjudiciales para la parte intestinal del bebé porque no tiene todos los órganos maduros. Entonces, todas esas cosas las tiene que tomar la mamá y el bebé sólo tiene que tomar teta.	La primera leche que sale es una leche que tiene mucho contenido en agua, que es la que calma la sed del bebé, por eso el bebé no necesita tomar agua.	Si ese bebé sigue mamando de esa teta, va a sacar de esa leche materna las grasas y los nutrientes que necesita. Por eso decimos que los seis primeros meses son de lactancia exclusiva y después es lactancia más los alimentos indicados por el pediatra. Consultada sobre hasta cuándo es recomendable la lactancia materna, la licenciada expresó: La Organización Mundial de la	3	ar-b-4.txt	control_33	[AR] Argentina
beber	vr	8	La piel es el órgano más grande que tenemos y además está expuesta a cientos de agresiones por lo que hay que protegerla desde fuera con unos buenos protectores solares y cremas hidratantes, pero el verdadero cuidado procede del interior.	La hidratación es fundamental por eso hay que beber agua o zumos de frutas o verduras para que tenga la suficiente agua.	Los nutrientes que son esenciales para la buena salud de la piel son: Beta caroteno: es el precursor de la vitamina A. Uno de los alimentos más ricos en ella es la zanahoria. Pero también hay caroteno en la calabaza, el mango, o el tomate, cerezas, melocotón o	0	es-b-0.txt	control_34	[ES] Spain
anteojos	nmp    	10	se llama miodesopsias, y hay millones de personas con esa molestia en la actualidad. Se sospecha que son coágulos de sangre u otros desechos orgánicos producidos por la irritación ocular, tanto por accidentes, operaciones o por el uso excesivo de pantallas de computadoras. Yo también las tengo y es algo bastante común hoy día.	Se recomienda usar protección anti uv y antireflectiva en los anteojos.	Hay casos de personas que se sanan de esa molestia. Todo estudio científico se compone de fases de observación, procesamiento y conclusiones finales (o leyes generalistas). Una observación puntual puede arrojar resultados que no sean los esperados por lo que en muchos casos se hace uso de la probabilidad. El nacimiento y desarrollo de la ciencia experimental a partir del	0	es-b-0.txt	control_35	[ES] Spain
gafas	nfp    	17	de contacto ya sea RGP Queratocono o los Blandos Flex Lens; cual de ellos sería el mas recomendable y con cual de estos lentes alcanzaría una nejor calidad de visión. Gracias por la respuesta. Buenas Patricia, en primer lugar decir que es muy importante personalizar en cada caso.	En general empezaríamos con lentes de contacto cuando se tiene un astigmatismo elevado e irregular que con gafas no se consigue corregir para obtener una buena Visión.	Por otra parte la lentes de contacto que mas se utilizan y con las que nosotros trabajamos mas, son las lentes rígidas permeables al gas. Las lentes blandas especiales son mas gruesas que las blandas normales para compensar la irregularidad corneal, pero no llegarían a compensar la tanto como las rígidas, así que quedarían	0	es-b-0.txt	control_36	[ES] Spain
mecedora	nfs    	35	el nivel óptimo de funcionamiento en el discurrir de una vida llena de contratiempos que los descabalan. Tras casi cuatro horas de conversación fructuosa. . .	me retiro al que considero el rincón de pensar más idóneo, una casa que parece querer aproximarse a las de nuestras queridas abuelas, acogedoras, cálidas, llenas de recuerdos, con olor a leña y con una mecedora en la que columpiar los planes, los proyectos, los propósitos, las intenciones, las reflexiones y los razonamiento.	... a la sombra de un árbol o a la vera de un costurero. La chimenea, la cocina, la cama con los barrotes en dorado envejecido y negro. . . todo es realmente bonito. Gracias por vuestros comentarios a las dos	0	es-b-3.txt	control_37	[ES] Spain
silla	nfs    	11	septiembre de 2010 se realizó un chequeo en los alrededores de centros infantiles como guarderías, para comprobar la situación real. Los resultados de la recogida de datos muestran que aunque la mayoría de los niños ocupaban habitualmente las plazas traseras, sólo un 6,1% utilizaba la plaza del medio, la más segura.	Se observó también que el 90% de los encuestados utilizaba una silla con homologación válida, pero en muchos casos la silla no estaba debidamente sujeta al vehículo o los niños no estaban debidamente abrochados, ya que tenían los arneses demasiado flojos como para servir de retención en caso de accidentes.	Como consecuencia de todo ello, se llevó a cabo una campaña de apoyo a base de carteles informativos que se colocaron en toda la ciudad y	0	es-b-1.txt	control_38	[ES] Spain
gente	nfs    	14	y ver cómo las personas caminan tanto por la calzada como por la acera y no respetan los pasos de cebra. Cuando se sanciona a un peatón, algo que no es muy habitual, la gente se sorprende mucho, pero esta multa es totalmente lícita porque se está cometiendo una infracción.	Por otro lado, nuestros dos entrevistados coinciden en el gran peligro que corre la gente de tercera edad en el caso de los atropellos ya que son el sector de población que más incumple las normas al no respetar los semáforos o los pasos de cebra, además de tener una mayor dificultad de reacción y una acentuada falta de atención.	Aunque la prevención de accidentes es un ámbito propio de tráfico, nuestros dos protagonistas de hoy nos dan su	0	es-b-0.txt	control_39	[ES] Spain
personas	o	1	Que Manolo Lama pida Perdón No tengo palabras para describir el nivel de VERGÜENZA que he sentido al ver el vídeo en el queManolo Lama de Noticias Cuatro se mofa de una persona sin hogar. Aunque muchas personas pasen a su lado por las ciudades como si fueran parte del mobiliario, no son parte del paisaje.	Las personas sin hogar son eso: PERSONAS y parece mentira que haya quien tenga tan poca dignidad como para convertirlos en un mono de feria.	Comentarios la necesidad de un ser humano no debe de ser utilizada como justificación para montar este número de humillación. es totalmente miserable y más sabiendo que el pobre hombre seguramente no tenía ni idea de lo que se cocía entre el grupo que lo rodeaba,	0	es-b-0.txt	control_40	[ES] Spain
comer	vr	12	no volver a ganar el peso perdido son mayores. La capacidad de la acupuntura para reducir la sensación de apetito hace que la pérdida de peso resulte cómoda y que la persona no se sienta mortificada por el hecho de pasar hambre. Adelgazar es más fácil si se sigue terapia con acupuntura para adelgazar.	Alimentos que nutren la mente la naturaleza nos los ofrece en abundancia Comer sanamente puede ayudarnos a prevenir un infarto y aún el cáncer, ¿pero permite también conservar la lucidez?	Por asombroso que parezca, cada vez hay más pruebas de que los mismos procesos que obstruyen las arterias coronarias y causan alteraciones cancerosas en las células pueden dañar la delicada red de comunicaciones de el cerebro. Dios sabía lo que hacía cuando creó las frutas	1	cu-b-0.txt	control_41	[CU] Cuba
almorzar	vr	9	y caiga donde caiga me pasaré por tus tierras a tomar nos unas ¿pintas? aunq yo soy mas de whisky, si es bueno sin hielo, movido, no agitado con una filigrana de limón ;) Yo no para, la verdad y estoy muy contento. . . . . muchas horas pero mucho dinero.	No hay día que me siente a desayunar o almorzar con las tripulaciones de los barcos.	. . . Ahora estoy con el polaco dándole duro. Es muy importante para mi trabajo al igual que el portugués, pero este lo dominó muy bien y cada día mejor. La semana pasada tuve un problema grave con un compañero. . . mejor dicho el supervisor y me calenté. . . . .	0	es-b-0.txt	control_42	[ES] Spain
peluche	nms    	3	ahora tendría otros dolores, pobre mi preocupación, le creo otros dolores. La corrida para comprarle la canasta, y un almohadón cómodo donde descansar, pero como no encontraba uno que me gustara, termine encontrándole a un amigo que hasta el día de hoy la acompaña, un oso de peluche gris enorme sobre el que le encantaba dormir.	El canasto, el peluche, los huesitos para jugar, si a veces la casa tenía juguetes de mi cómplice canina por todos lados.	La vaca la pobre vaca que termino destrozada una mañana. Los cursos los sábados para acostumbrarla a portarse correctamente, y aprendió a una velocidad que me sorprendió. Luego la	0	es-b-0.txt	control_43	[ES] Spain
