lemma	grouping	nodes	nodes1	nodes2	cluster_freq_dist	cluster_freq_dist1	cluster_freq_dist2	cluster_prob_dist	cluster_prob_dist1	cluster_prob_dist2	change_binary	change_binary_gain	change_binary_loss	change_graded	k1	n1	k2	n2
Dynamik	1_2	161	61	100	[96, 44, 14, 1, 1]	[14, 37, 6, 1, 0]	[82, 7, 8, 0, 1]	[0.615, 0.282, 0.09, 0.006, 0.006]	[0.241, 0.638, 0.103, 0.017, 0.0]	[0.837, 0.071, 0.082, 0.0, 0.01]	0	0	0	0.5724488976	1	5	1	5
Einreichung	1_2	160	60	100	[158]	[60]	[98]	[1.0]	[1.0]	[1.0]	0	0	0	0	1	5	1	5
Eintagsfliege	1_2	159	59	100	[97, 55, 1, 1]	[10, 47, 1, 0]	[87, 8, 0, 1]	[0.63, 0.357, 0.006, 0.006]	[0.172, 0.81, 0.017, 0.0]	[0.906, 0.083, 0.0, 0.01]	0	0	0	0.6769553014	1	5	1	5
Engpaß	1_2	182	82	100	[91, 74, 2, 2, 1, 1]	[2, 73, 1, 0, 1, 1]	[89, 1, 1, 2, 0, 0]	[0.532, 0.433, 0.012, 0.012, 0.006, 0.006]	[0.026, 0.936, 0.013, 0.0, 0.013, 0.013]	[0.957, 0.011, 0.011, 0.022, 0.0, 0.0]	1	0	1	0.9274400623	1	5	1	5
Entscheidung	1_2	200	100	100	[195, 4, 1]	[96, 3, 1]	[99, 1, 0]	[0.975, 0.02, 0.005]	[0.96, 0.03, 0.01]	[0.99, 0.01, 0.0]	0	0	0	0.0945563794	1	5	1	5
Festspiel	1_2	150	50	100	[148, 1]	[49, 1]	[99, 0]	[0.993, 0.007]	[0.98, 0.02]	[1.0, 0.0]	0	0	0	0.1003636619	1	5	1	5
Frechheit	1_2	200	100	100	[199, 1]	[99, 1]	[100, 0]	[0.995, 0.005]	[0.99, 0.01]	[1.0, 0.0]	0	0	0	0.070838721	1	5	1	5
Fuß	1_2	200	100	100	[101, 58, 12, 10, 8, 6, 1, 1, 1]	[42, 55, 0, 1, 2, 0, 0, 0, 0]	[59, 3, 12, 9, 6, 6, 1, 1, 1]	[0.51, 0.293, 0.061, 0.051, 0.04, 0.03, 0.005, 0.005, 0.005]	[0.42, 0.55, 0.0, 0.01, 0.02, 0.0, 0.0, 0.0, 0.0]	[0.602, 0.031, 0.122, 0.092, 0.061, 0.061, 0.01, 0.01, 0.01]	1	1	0	0.598310779	1	5	1	5
Gesichtsausdruck	1_2	200	100	100	[185, 1]	[99, 0]	[86, 1]	[0.995, 0.005]	[1.0, 0.0]	[0.989, 0.011]	0	0	0	0.0759676906	1	5	1	5
Knotenpunkt	1_2	200	100	100	[92, 79, 23, 2, 1, 1]	[15, 76, 7, 0, 1, 1]	[77, 3, 16, 2, 0, 0]	[0.465, 0.399, 0.116, 0.01, 0.005, 0.005]	[0.15, 0.76, 0.07, 0.0, 0.01, 0.01]	[0.786, 0.031, 0.163, 0.02, 0.0, 0.0]	0	0	0	0.7117905018	1	5	1	5
Kubikmeter	1_2	200	100	100	[200]	[100]	[100]	[1.0]	[1.0]	[1.0]	0	0	0	0	1	5	1	5
Lyzeum	1_2	200	100	100	[193, 1]	[95, 1]	[98, 0]	[0.995, 0.005]	[0.99, 0.01]	[1.0, 0.0]	0	0	0	0.0723049354	1	5	1	5
Manschette	1_2	178	78	100	[133, 14, 8, 4, 1, 1, 1]	[66, 2, 1, 3, 1, 1, 0]	[67, 12, 7, 1, 0, 0, 1]	[0.821, 0.086, 0.049, 0.025, 0.006, 0.006, 0.006]	[0.892, 0.027, 0.014, 0.041, 0.014, 0.014, 0.0]	[0.761, 0.136, 0.08, 0.011, 0.0, 0.0, 0.011]	1	1	0	0.2770162798	1	5	1	5
Mißklang	1_2	154	54	100	[126, 23, 1]	[37, 17, 0]	[89, 6, 1]	[0.84, 0.153, 0.007]	[0.685, 0.315, 0.0]	[0.927, 0.062, 0.01]	0	0	0	0.2912434763	1	5	1	5
Mulatte	1_2	200	100	100	[198]	[100]	[98]	[1.0]	[1.0]	[1.0]	0	0	0	0	1	5	1	5
Mut	1_2	200	100	100	[178, 6, 1, 1, 1, 1, 1, 1, 1]	[86, 4, 1, 1, 1, 1, 1, 1, 0]	[92, 2, 0, 0, 0, 0, 0, 0, 1]	[0.932, 0.031, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.896, 0.042, 0.01, 0.01, 0.01, 0.01, 0.01, 0.01, 0.0]	[0.968, 0.021, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011]	0	0	0	0.2000561462	1	5	1	5
Naturschönheit	1_2	198	98	100	[197, 1]	[98, 0]	[99, 1]	[0.995, 0.005]	[1.0, 0.0]	[0.99, 0.01]	0	0	0	0.070838721	1	5	1	5
Ohrwurm	1_2	139	39	100	[86, 43, 1]	[0, 35, 1]	[86, 8, 0]	[0.662, 0.331, 0.008]	[0.0, 0.972, 0.028]	[0.915, 0.085, 0.0]	1	1	0	0.886829847	1	4	1	5
Pachtzins	1_2	139	39	100	[139]	[39]	[100]	[1.0]	[1.0]	[1.0]	0	0	0	0	1	4	1	5
packen	1_2	200	100	100	[84, 43, 38, 15, 3, 3, 2, 2, 1, 1, 1, 1, 1, 1, 1]	[56, 26, 5, 8, 1, 0, 2, 0, 1, 1, 0, 0, 0, 0, 0]	[28, 17, 33, 7, 2, 3, 0, 2, 0, 0, 1, 1, 1, 1, 1]	[0.426, 0.218, 0.193, 0.076, 0.015, 0.015, 0.01, 0.01, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.56, 0.26, 0.05, 0.08, 0.01, 0.0, 0.02, 0.0, 0.01, 0.01, 0.0, 0.0, 0.0, 0.0, 0.0]	[0.289, 0.175, 0.34, 0.072, 0.021, 0.031, 0.0, 0.021, 0.0, 0.0, 0.01, 0.01, 0.01, 0.01, 0.01]	0	0	0	0.4452298547	1	5	1	5
Rezeption	1_2	200	100	100	[128, 30, 11, 7, 2, 2, 1, 1, 1, 1, 1, 1, 1]	[67, 0, 11, 5, 2, 1, 1, 1, 1, 1, 1, 1, 0]	[61, 30, 0, 2, 0, 1, 0, 0, 0, 0, 0, 0, 1]	[0.684, 0.16, 0.059, 0.037, 0.011, 0.011, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005, 0.005]	[0.728, 0.0, 0.12, 0.054, 0.022, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.011, 0.0]	[0.642, 0.316, 0.0, 0.021, 0.0, 0.011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.011]	1	1	1	0.5233219252	1	5	1	5
Schmiere	1_2	200	100	100	[84, 61, 15, 2, 2, 1, 1]	[56, 19, 1, 1, 1, 1, 0]	[28, 42, 14, 1, 1, 0, 1]	[0.506, 0.367, 0.09, 0.012, 0.012, 0.006, 0.006]	[0.709, 0.241, 0.013, 0.013, 0.013, 0.013, 0.0]	[0.322, 0.483, 0.161, 0.011, 0.011, 0.0, 0.011]	1	1	0	0.3869992158	1	5	1	5
Seminar	1_2	200	100	100	[197]	[98]	[99]	[1.0]	[1.0]	[1.0]	0	0	0	0	1	5	1	5
Sensation	1_2	200	100	100	[159, 25, 1, 1, 1]	[66, 25, 1, 1, 1]	[93, 0, 0, 0, 0]	[0.85, 0.134, 0.005, 0.005, 0.005]	[0.702, 0.266, 0.011, 0.011, 0.011]	[1.0, 0.0, 0.0, 0.0, 0.0]	1	0	1	0.4096759796	1	5	1	5
Spielball	1_2	159	59	100	[145, 5, 3, 1, 1]	[55, 2, 0, 1, 0]	[90, 3, 3, 0, 1]	[0.935, 0.032, 0.019, 0.006, 0.006]	[0.948, 0.034, 0.0, 0.017, 0.0]	[0.928, 0.031, 0.031, 0.0, 0.01]	0	0	0	0.1714330499	1	5	1	5
Tier	1_2	200	100	100	[193, 1]	[100, 0]	[93, 1]	[0.995, 0.005]	[1.0, 0.0]	[0.989, 0.011]	0	0	0	0.0730730286	1	5	1	5
Titel	1_2	200	100	100	[135, 37, 23]	[67, 11, 20]	[68, 26, 3]	[0.692, 0.19, 0.118]	[0.684, 0.112, 0.204]	[0.701, 0.268, 0.031]	0	0	0	0.2743707838	1	5	1	5
Tragfähigkeit	1_2	182	82	100	[165, 7, 2, 2, 1]	[76, 1, 1, 1, 1]	[89, 6, 1, 1, 0]	[0.932, 0.04, 0.011, 0.011, 0.006]	[0.95, 0.012, 0.012, 0.012, 0.012]	[0.918, 0.062, 0.01, 0.01, 0.0]	1	1	0	0.1396167176	1	5	1	5
Truppenteil	1_2	200	100	100	[200]	[100]	[100]	[1.0]	[1.0]	[1.0]	0	0	0	0	1	5	1	5
überspannen	1_2	200	100	100	[139, 38, 8, 4, 2, 2, 1, 1, 1]	[59, 29, 6, 2, 1, 0, 1, 1, 0]	[80, 9, 2, 2, 1, 2, 0, 0, 1]	[0.709, 0.194, 0.041, 0.02, 0.01, 0.01, 0.005, 0.005, 0.005]	[0.596, 0.293, 0.061, 0.02, 0.01, 0.0, 0.01, 0.01, 0.0]	[0.825, 0.093, 0.021, 0.021, 0.01, 0.021, 0.0, 0.0, 0.01]	0	0	0	0.2927178845	1	5	1	5
Unentschlossenheit	1_2	176	76	100	[176]	[76]	[100]	[1.0]	[1.0]	[1.0]	0	0	0	0	1	5	1	5
verbauen	1_2	168	68	100	[75, 46, 36, 3, 3, 2, 1, 1, 1]	[12, 20, 32, 1, 0, 2, 1, 0, 0]	[63, 26, 4, 2, 3, 0, 0, 1, 1]	[0.446, 0.274, 0.214, 0.018, 0.018, 0.012, 0.006, 0.006, 0.006]	[0.176, 0.294, 0.471, 0.015, 0.0, 0.029, 0.015, 0.0, 0.0]	[0.63, 0.26, 0.04, 0.02, 0.03, 0.0, 0.0, 0.01, 0.01]	0	0	0	0.547549163	1	5	1	5
vergönnen	1_2	200	100	100	[197, 1]	[98, 1]	[99, 0]	[0.995, 0.005]	[0.99, 0.01]	[1.0, 0.0]	0	0	0	0.0711968986	1	5	1	5
voranstellen	1_2	200	100	100	[184, 8, 1, 1, 1]	[88, 6, 1, 1, 1]	[96, 2, 0, 0, 0]	[0.944, 0.041, 0.005, 0.005, 0.005]	[0.907, 0.062, 0.01, 0.01, 0.01]	[0.98, 0.02, 0.0, 0.0, 0.0]	0	0	0	0.1560563915	1	5	1	5
vorliegen	1_2	200	100	100	[195, 1]	[98, 0]	[97, 1]	[0.995, 0.005]	[1.0, 0.0]	[0.99, 0.01]	0	0	0	0.071560565	1	5	1	5
vorweisen	1_2	168	68	100	[161, 4]	[66, 0]	[95, 4]	[0.976, 0.024]	[1.0, 0.0]	[0.96, 0.04]	0	0	0	0.1431869724	1	5	1	5
weitgreifend	1_2	164	64	100	[157]	[63]	[94]	[1.0]	[1.0]	[1.0]	0	0	0	0	1	5	1	5
zersetzen	1_2	200	100	100	[107, 91, 1]	[81, 17, 1]	[26, 74, 0]	[0.538, 0.457, 0.005]	[0.818, 0.172, 0.01]	[0.26, 0.74, 0.0]	0	0	0	0.5021835606	1	5	1	5
